#Zeit in ns
#15
#links ist negativ
#Verzögerungsdauer      Messdauer       Counts
-32                     120             11
-24                     60              9
-20                     60              13
-16                     60              106
-12                     60              480
-8                      30              422
-4                      30              617
-3                      30              477
-2                      20              472
-1                      20              482
32                      120             150
24                      60              31
20                      60              117
16                      60              435
12                      20              376
8                       20              451
4                       20              504
3                       20              503
2                       20              497
1                       20              573
